year,country,gdp_ppp,population
1990,United States,1.01E+13,249623000
1991,United States,1.01E+13,252981000
1992,United States,1.04E+13,256514000
1993,United States,1.07E+13,259919000
1994,United States,1.12E+13,263126000
1995,United States,1.15E+13,266278000
1996,United States,1.19E+13,269394000
1997,United States,1.24E+13,272657000
1998,United States,1.30E+13,275854000
1999,United States,1.36E+13,279040000
2000,United States,1.42E+13,282162411
2001,United States,1.43E+13,284968955
2002,United States,1.45E+13,287625193
2003,United States,1.49E+13,290107933
2004,United States,1.55E+13,292805298
2005,United States,1.61E+13,295516599
2006,United States,1.65E+13,298379912
2007,United States,1.68E+13,301231207
2008,United States,1.69E+13,304093966
2009,United States,1.64E+13,306771529
2010,United States,1.69E+13,309327143
2011,United States,1.71E+13,311583481
2012,United States,1.75E+13,313877662
2013,United States,1.78E+13,316059947
2014,United States,1.82E+13,318386329
2015,United States,1.87E+13,320738994
2016,United States,1.90E+13,323071755
2017,United States,1.95E+13,325122128
2018,United States,2.00E+13,326838199
2019,United States,2.05E+13,328329953
2020,United States,1.98E+13,331501080
2021,United States,2.09E+13,331893745
1990,Japan,4.06E+12,123478000
1991,Japan,4.20E+12,123964000
1992,Japan,4.24E+12,124425000
1993,Japan,4.22E+12,124829000
1994,Japan,4.26E+12,125178000
1995,Japan,4.37E+12,125472000
1996,Japan,4.51E+12,125757000
1997,Japan,4.56E+12,126057000
1998,Japan,4.50E+12,126400000
1999,Japan,4.48E+12,126631000
2000,Japan,4.61E+12,126843000
2001,Japan,4.63E+12,127149000
2002,Japan,4.63E+12,127445000
2003,Japan,4.70E+12,127718000
2004,Japan,4.80E+12,127761000
2005,Japan,4.89E+12,127773000
2006,Japan,4.95E+12,127854000
2007,Japan,5.03E+12,128001000
2008,Japan,4.97E+12,128063000
2009,Japan,4.68E+12,128047000
2010,Japan,4.88E+12,128070000
2011,Japan,4.88E+12,127833000
2012,Japan,4.94E+12,127629000
2013,Japan,5.04E+12,127445000
2014,Japan,5.06E+12,127276000
2015,Japan,5.14E+12,127141000
2016,Japan,5.18E+12,127076000
2017,Japan,5.26E+12,126972000
2018,Japan,5.29E+12,126811000
2019,Japan,5.28E+12,126633000
2020,Japan,5.04E+12,126261000
2021,Japan,5.12E+12,125681593
1990,South Africa,4.14E+11,36800507
1991,South Africa,4.10E+11,37718952
1992,South Africa,4.01E+11,38672611
1993,South Africa,4.06E+11,39633754
1994,South Africa,4.19E+11,40564061
1995,South Africa,4.32E+11,41435761
1996,South Africa,4.51E+11,42241007
1997,South Africa,4.63E+11,42987456
1998,South Africa,4.65E+11,43682259
1999,South Africa,4.76E+11,44338551
2000,South Africa,4.96E+11,44967713
2001,South Africa,5.10E+11,45571272
2002,South Africa,5.28E+11,46150913
2003,South Africa,5.44E+11,46719203
2004,South Africa,5.69E+11,47291610
2005,South Africa,5.99E+11,47880595
2006,South Africa,6.32E+11,48489464
2007,South Africa,6.66E+11,49119766
2008,South Africa,6.88E+11,49779472
2009,South Africa,6.77E+11,50477013
2010,South Africa,6.98E+11,51216967
2011,South Africa,7.20E+11,52003759
2012,South Africa,7.37E+11,52832659
2013,South Africa,7.55E+11,53687125
2014,South Africa,7.66E+11,54544184
2015,South Africa,7.76E+11,55386369
2016,South Africa,7.81E+11,56207649
2017,South Africa,7.90E+11,57009751
2018,South Africa,8.02E+11,57792520
2019,South Africa,8.03E+11,58558267
2020,South Africa,7.51E+11,59308690
2021,South Africa,7.88E+11,60041996
