period,unrate,rgdp,infrate
1948,3.75,2119.95925,7.67221
1949,6.05,2107.999,-0.9808
1950,5.208333333,2291.1105,1.06402
1951,3.283333333,2475.44875,7.94113
1952,3.025,2576.658,2.28439
1953,2.925,2697.45625,0.7591
1954,5.591666667,2681.854,0.36112
1955,4.366666667,2873.15975,-0.25746
1956,4.125,2934.39125,1.47411
1957,4.3,2996.178,3.39269
1958,6.841666667,2973.98225,2.73002
1959,5.45,3180.22,0.93199
1960,5.541666667,3262.061,1.49228
1961,6.691666667,3345.69025,1.07036
1962,5.566666667,3550.68375,1.17608
1963,5.641666667,3705.31775,1.25606
1964,5.158333333,3918.79075,1.32209
1965,4.508333333,4173.42375,1.57869
1966,3.791666667,4448.703,2.98937
1967,3.841666667,4570.709,2.78455
1968,3.558333333,4795.387,4.24469
1969,3.491666667,4945.23525,5.43713
1970,4.983333333,4954.43575,5.88369
1971,5.95,5117.603,4.22656
1972,5.6,5386.733,3.27295
1973,4.858333333,5690.85275,6.25872
1974,5.641666667,5660.09075,11.01107
1975,8.475,5648.46175,9.1416
1976,7.7,5952.809,5.77489
1977,7.05,6228.0765,6.46956
1978,6.066666667,6572.819,7.62991
1979,5.85,6780.92375,11.25303
1980,7.175,6763.51375,13.50172
1981,7.616666667,6935.15325,10.37831
1982,9.708333333,6810.12,6.15836
1983,9.6,7122.2905,3.15953
1984,7.508333333,7637.704,4.3682
1985,7.191666667,7956.1695,3.5279
1986,7,8231.6635,1.94393
1987,6.175,8516.41825,3.57821
1988,5.491666667,8872.15425,4.10004
1989,5.258333333,9197.9975,4.79109
1990,5.616666667,9371.468,5.41922
1991,6.85,9361.322,4.21583
1992,7.491666667,9691.06875,3.04162
1993,6.908333333,9957.74625,2.96965
1994,6.1,10358.92325,2.5956
1995,5.591666667,10636.97875,2.80542
1996,5.408333333,11038.266,2.93667
1997,4.941666667,11529.157,2.33757
1998,4.5,12045.824,1.54701
1999,4.216666667,12623.361,2.19314
2000,3.966666667,13138.03525,3.36668
2001,4.741666667,13263.417,2.81663
2002,5.783333333,13488.357,1.59567
2003,5.991666667,13865.51925,2.298
2004,5.541666667,14399.696,2.66757
2005,5.083333333,14901.269,3.36583
2006,4.608333333,15315.94325,3.22209
2007,4.616666667,15623.8715,2.87055
2008,5.8,15642.962,3.81495
2009,9.283333333,15236.26225,-0.32036
2010,9.608333333,15648.991,1.63657
2011,8.933333333,15891.534,3.13965
2012,8.075,16253.97,2.07319
2013,7.358333333,16553.3475,1.46597
2014,6.158333333,16932.05175,1.61546
2015,5.275,17390.29525,0.12114
2016,4.875,17680.27375,1.26736
2017,4.358333333,18076.6515,2.13749
2018,3.891666667,18609.07825,2.4341
2019,3.675,19036.05225,1.81211
2020,8.091666667,18509.14275,1.24837
2021,5.358333333,19609.81175,4.68
