date,dexchus
1/2/81,1.5341
1/5/81,1.5418
1/6/81,1.5264
1/7/81,1.5264
1/8/81,1.5264
1/9/81,1.5371
1/12/81,1.5371
1/13/81,1.5449
1/14/81,1.5449
1/15/81,1.5449
1/16/81,1.5557
1/19/81,1.5557
1/20/81,1.5557
1/21/81,1.5557
1/22/81,1.551
1/23/81,1.551
1/26/81,1.5634
1/27/81,1.5759
1/28/81,1.5822
1/29/81,1.5886
1/30/81,1.5886
2/2/81,1.6108
2/3/81,1.6108
2/4/81,1.6028
2/5/81,1.6028
2/6/81,1.6028
2/9/81,1.6059
2/10/81,1.6059
2/11/81,1.6059
2/12/81,.
2/13/81,1.6285
2/16/81,.
2/17/81,1.6579
2/18/81,1.6298
2/19/81,1.6298
2/20/81,1.6021
2/23/81,1.5909
2/24/81,1.6099
2/25/81,1.6035
2/26/81,1.6179
2/27/81,1.6179
3/2/81,1.6293
3/3/81,1.6456
3/4/81,1.6374
3/5/81,1.6456
3/6/81,1.6456
3/9/81,1.6456
3/10/81,1.6407
3/11/81,1.6407
3/12/81,1.6407
3/13/81,1.6407
3/16/81,1.6402
3/17/81,1.6309
3/18/81,1.6227
3/19/81,1.6049
3/20/81,1.6129
3/23/81,1.6129
3/24/81,1.6209
3/25/81,1.6209
3/26/81,1.6209
3/27/81,1.6372
3/30/81,1.6372
3/31/81,1.6165
4/1/81,1.6337
4/2/81,1.6337
4/3/81,1.6418
4/6/81,1.65
4/7/81,1.6599
4/8/81,1.6483
4/9/81,1.6483
4/10/81,1.6565
4/13/81,1.6565
4/14/81,1.6682
4/15/81,1.6682
4/16/81,1.6798
4/17/81,1.6798
4/20/81,1.6798
4/21/81,1.6798
4/22/81,1.6798
4/23/81,1.6798
4/24/81,1.6798
4/27/81,1.6798
4/28/81,1.6798
4/29/81,1.6798
4/30/81,1.6882
5/1/81,1.6882
5/4/81,1.6882
5/5/81,1.7085
5/6/81,1.717
5/7/81,1.717
5/8/81,1.717
5/11/81,1.717
5/12/81,1.7273
5/13/81,1.7273
5/14/81,1.7359
5/15/81,1.7359
5/18/81,1.7359
5/19/81,1.7359
5/20/81,1.7359
5/21/81,1.7272
5/22/81,1.7429
5/25/81,.
5/26/81,1.7392
5/27/81,1.748
5/28/81,1.748
5/29/81,1.748
6/1/81,1.748
6/2/81,1.7567
6/3/81,1.7567
6/4/81,1.7672
6/5/81,1.7813
6/8/81,1.7813
6/9/81,1.7813
6/10/81,1.7742
6/11/81,1.7813
6/12/81,1.7724
6/15/81,1.7512
6/16/81,1.7512
6/17/81,1.7512
6/18/81,1.7599
6/19/81,1.7599
6/22/81,1.7511
6/23/81,1.7511
6/24/81,1.7511
6/25/81,1.7511
6/26/81,1.7511
6/29/81,1.7511
6/30/81,1.7511
7/1/81,1.7511
7/2/81,1.7616
7/3/81,1.7616
7/6/81,1.7616
7/7/81,1.7686
7/8/81,1.7686
7/9/81,1.7686
7/10/81,1.7686
7/13/81,1.7598
7/14/81,1.751
7/15/81,1.7598
7/16/81,1.751
7/17/81,1.751
7/20/81,1.7597
7/21/81,1.7667
7/22/81,1.7667
7/23/81,1.7667
7/24/81,1.7667
7/27/81,1.7667
7/28/81,1.7755
7/29/81,1.7755
7/30/81,1.7755
7/31/81,1.7845
8/3/81,1.7934
8/4/81,1.8113
8/5/81,1.8113
8/6/81,1.8041
8/7/81,1.8149
8/10/81,1.8367
8/11/81,1.8367
8/12/81,1.8092
8/13/81,1.8092
8/14/81,1.8218
8/17/81,1.8
8/18/81,1.8
8/19/81,1.791
8/20/81,1.791
8/21/81,1.773
8/24/81,1.7872
8/25/81,1.7997
8/26/81,1.7853
8/27/81,1.7853
8/28/81,1.7727
8/31/81,1.7727
9/1/81,1.7815
9/2/81,1.7815
9/3/81,1.7673
9/4/81,1.7673
9/7/81,.
9/8/81,1.7673
9/9/81,1.7796
9/10/81,1.7686
9/11/81,1.7689
9/14/81,1.7565
9/15/81,1.7319
9/16/81,1.7319
9/17/81,1.7233
9/18/81,1.7233
9/21/81,1.7233
9/22/81,1.7181
9/23/81,1.7404
9/24/81,1.7492
9/25/81,1.7579
9/28/81,1.7667
9/29/81,1.7614
9/30/81,1.7719
10/1/81,1.7719
10/2/81,1.7719
10/5/81,1.7525
10/6/81,1.7525
10/7/81,1.7507
10/8/81,1.7366
10/9/81,1.7297
10/12/81,.
10/13/81,1.7297
10/14/81,1.7383
10/15/81,1.7383
10/16/81,1.7506
10/19/81,1.7505
10/20/81,1.7505
10/21/81,1.7575
10/22/81,1.768
10/23/81,1.768
10/26/81,1.768
10/27/81,1.7857
10/28/81,1.7857
10/29/81,1.7857
10/30/81,1.7678
11/2/81,1.7502
11/3/81,.
11/4/81,1.7502
11/5/81,1.7502
11/6/81,1.7502
11/9/81,1.7414
