date,netexp
1/1/47,10.875
4/1/47,11.294
7/1/47,11.77
10/1/47,9.289
1/1/48,7.293
4/1/48,5.205
7/1/48,4.949
10/1/48,4.501
1/1/49,6.478
4/1/49,6.283
7/1/49,5.179
10/1/49,2.999
1/1/50,2.203
4/1/50,1.643
7/1/50,-0.74
10/1/50,-0.154
1/1/51,0.177
4/1/51,1.943
7/1/51,3.742
10/1/51,4.19
1/1/52,3.721
4/1/52,1.951
7/1/52,-0.004
10/1/52,-1.013
1/1/53,-0.667
4/1/53,-1.251
7/1/53,-0.552
10/1/53,-0.335
1/1/54,-0.356
4/1/54,0.254
7/1/54,0.574
10/1/54,1.145
1/1/55,1.104
4/1/55,-0.155
7/1/55,0.724
10/1/55,0.24
1/1/56,0.44
4/1/56,1.909
7/1/56,2.569
10/1/56,4.527
1/1/57,4.819
4/1/57,4.099
7/1/57,3.997
10/1/57,3.388
1/1/58,1.079
4/1/58,0.471
7/1/58,0.856
10/1/58,-0.26
1/1/59,0.519
4/1/59,-0.768
7/1/59,1.211
10/1/59,0.627
1/1/60,2.858
4/1/60,3.395
7/1/60,4.682
10/1/60,5.88
1/1/61,5.902
4/1/61,4.727
7/1/61,4.453
10/1/61,4.572
1/1/62,4.01
4/1/62,4.777
7/1/62,4.482
10/1/62,3.133
1/1/63,3.976
4/1/63,5.558
7/1/63,4.511
10/1/63,5.711
1/1/64,7.213
4/1/64,6.305
7/1/64,6.946
10/1/64,7.195
1/1/65,4.512
4/1/65,6.688
7/1/65,5.521
10/1/65,5.75
1/1/66,4.367
4/1/66,4.632
7/1/66,2.687
10/1/66,3.765
1/1/67,4.453
4/1/67,4.219
7/1/67,3.302
10/1/67,2.244
1/1/68,1.054
4/1/68,1.749
7/1/68,1.65
10/1/68,0.945
1/1/69,0.239
4/1/69,1.104
7/1/69,1.231
10/1/69,3.149
1/1/70,3.514
4/1/70,5.207
7/1/70,4.088
10/1/70,2.985
1/1/71,4.57
4/1/71,-0.401
7/1/71,0.236
10/1/71,-1.92
1/1/72,-3.534
4/1/72,-4.258
7/1/72,-2.638
10/1/72,-3.061
1/1/73,-1.4
4/1/73,2.454
7/1/73,6.437
10/1/73,8.952
1/1/74,6.394
4/1/74,-2.714
7/1/74,-6.972
10/1/74,0.033
1/1/75,16.481
4/1/75,21.582
7/1/75,12.043
10/1/75,13.801
1/1/76,4.65
4/1/76,-0.496
7/1/76,-4.073
10/1/76,-6.603
1/1/77,-21.079
4/1/77,-21.136
7/1/77,-20.579
10/1/77,-29.582
1/1/78,-38.681
4/1/78,-22.624
7/1/78,-23.76
10/1/78,-16.4
1/1/79,-18.159
4/1/79,-22.189
7/1/79,-23.029
10/1/79,-26.802
1/1/80,-35.803
4/1/80,-15.211
7/1/80,5.471
10/1/80,-6.682
1/1/81,-14.259
4/1/81,-13.508
7/1/81,-7.561
10/1/81,-14.75
1/1/82,-16.276
4/1/82,-4.386
7/1/82,-29.647
10/1/82,-29.587
1/1/83,-24.548
4/1/83,-45.434
7/1/83,-65.2
10/1/83,-71.385
1/1/84,-95.004
4/1/84,-104.301
7/1/84,-103.847
10/1/84,-107.756
1/1/85,-91.298
4/1/85,-114.445
7/1/85,-116.895
10/1/85,-133.434
1/1/86,-126.014
4/1/86,-128.872
7/1/86,-138.961
10/1/86,-133.629
1/1/87,-141.234
4/1/87,-146.977
7/1/87,-145.464
10/1/87,-145.405
1/1/88,-123.987
4/1/88,-106.627
7/1/88,-99.263
10/1/88,-107.694
1/1/89,-100.965
4/1/89,-88.16
7/1/89,-75.075
10/1/89,-82.765
1/1/90,-88.536
