year,country,unemployment_rate,inflation_rate,change_inflation
1991,Brazil,6.31400013,432.7866619,NA
1992,Brazil,6.420000076,951.9620531,519.1753912
1993,Brazil,6.03000021,1927.38079,975.4187368999999
1994,Brazil,6.169000149,2075.888398,148.50760800000012
1995,Brazil,6.420000076,66.00703355,-2009.88136445
1996,Brazil,7.25,15.7576656,-50.24936795000001
1997,Brazil,8.159999847,6.926712516,-8.830953083999999
1998,Brazil,9.4200000760000009,3.195076293,-3.731636223
1999,Brazil,10.21000004,4.858447499,1.6633712060000003
2000,Brazil,9.56099987,7.044141059,2.18569356
2001,Brazil,9.609999657,6.840359025,-0.2037820340000005
2002,Brazil,9.369999886,8.450164377,1.6098053520000004
2003,Brazil,9.989999771,14.71491972,6.264755342999999
2004,Brazil,9.109999657,6.5971851,-8.11773462
2005,Brazil,9.569999695,6.869537209,0.27235210899999984
2006,Brazil,8.640000343,4.183568129,-2.6859690799999996
2007,Brazil,8.3299999239999991,3.641272991,-0.5422951380000001
2008,Brazil,7.340000153,5.678593903,2.037320912
2009,Brazil,8.520000458,4.888034799,-0.7905591040000006
2010,Brazil,7.274000168,5.038726901,0.15069210200000072
2011,Brazil,6.920000076,6.636449622,1.5977227209999993
2012,Brazil,7.190000057,5.40349914,-1.2329504819999997
2013,Brazil,6.980000019,6.204310666,0.8008115259999995
2014,Brazil,6.659999847,6.329040155,0.1247294890000008
2015,Brazil,8.430000305,9.029901024,2.7008608690000004
2016,Brazil,11.600000380000001,8.739143523,-0.29075750100000164
2017,Brazil,12.81999969,3.44637335,-5.292770172999999
2018,Brazil,12.32999992,3.664850284,0.2184769339999999
2019,Brazil,11.93000031,3.732976212,0.06812592800000017
2020,Brazil,13.68999958,3.211768038,-0.5212081739999999
2021,Brazil,14.40299988,8.301659756,5.089891717999999
