year,country,unemployment_rate,inflation_rate,change_inflation
1991,India,5.598999977,13.87024618,NA
1992,India,5.727000237,11.78781704,-2.0824291400000003
1993,India,5.690999985,6.326890488,-5.460926552
1994,India,5.738999844,10.24793556,3.921045072
1995,India,5.7550001140000004,10.22488616,-0.023049399999999665
1996,India,5.739999771,8.977152338,-1.2477338220000007
1997,India,5.612999916,7.164252115,-1.8129002229999998
1998,India,5.665999889,13.23083898,6.066586865
1999,India,5.736000061,4.66982038,-8.5610186
2000,India,5.56099987,4.00943591,-0.6603844700000003
2001,India,5.576000214,3.779293122,-0.23014278799999976
2002,India,5.53000021,4.297152039,0.5178589170000003
2003,India,5.643000126,3.805858995,-0.4912930440000003
2004,India,5.629000187,3.767251735,-0.03860726000000003
2005,India,5.612999916,4.24634362,0.47909188500000033
2006,India,5.600999832,5.796523376,1.5501797559999995
2007,India,5.572000027,6.372881356,0.57635798
2008,India,5.414000034,8.349267049,1.976385693
2009,India,5.544000149,10.88235294,2.5330858910000007
2010,India,5.546000004,11.98938992,1.1070369800000002
2011,India,5.426000118,8.911793365,-3.0775965550000013
2012,India,5.414000034,9.478996914,0.5672035490000003
2013,India,5.423999786,10.01787847,0.5388815559999998
2014,India,5.43599987,6.665656719,-3.352221750999999
2015,India,5.434999943,4.906973441,-1.7586832780000003
2016,India,5.422999859,4.948216341,0.041242900000000304
2017,India,5.357999802,3.328173375,-1.6200429660000002
2018,India,5.329999924,3.938826467,0.6106530920000002
2019,India,5.269999981,3.729505735,-0.20932073200000012
2020,India,7.997000217,6.623436776,2.893931041
2021,India,5.978000164,5.131407472,-1.492029304
