date,pce,cpi,cpi_core
1/1/58,3.23753,3.45614,2.7972
4/1/58,2.77223,3.27225,2.42775
7/1/58,2.02085,2.2998,2.06659
10/1/58,1.45057,1.91315,1.82232
1/1/59,0.89869,0.89317,1.81406
4/1/59,1.12289,0.39175,1.91874
7/1/59,1.66113,0.96841,2.02475
10/1/59,2.25762,1.47414,2.12528
1/1/60,1.7004,1.39112,2.11581
4/1/60,1.81762,1.82486,1.77187
7/1/60,1.58466,1.35876,1.21279
10/1/60,1.48412,1.39598,1.09529
1/1/61,1.53111,1.50811,0.87241
4/1/61,0.99312,0.8679,0.97933
7/1/61,0.97724,1.20536,1.52505
10/1/61,0.64056,0.70517,1.30011
1/1/62,0.89275,0.89366,1.2973
4/1/62,1.26086,1.30741,1.40086
7/1/62,1.16615,1.20214,1.28755
10/1/62,1.36304,1.30043,1.17647
1/1/63,1.21966,1.22896,1.17396
4/1/63,1.01877,1.03684,1.16897
7/1/63,1.23589,1.36384,1.27119
10/1/63,1.30324,1.39346,1.58562
1/1/64,1.48848,1.48748,1.89873
4/1/64,1.55697,1.46288,1.57563
7/1/64,1.39688,1.07422,1.35983
10/1/64,1.35665,1.2661,1.35276
1/1/65,1.20475,1.16392,1.24224
4/1/65,1.49245,1.64622,1.44778
7/1/65,1.53971,1.71766,1.34159
10/1/65,1.51157,1.78457,1.3347
1/1/66,1.97251,2.41824,1.43149
4/1/66,2.283,2.68868,2.14067
7/1/66,2.68498,3.27177,2.95316
10/1/66,3.16567,3.56955,3.44478
1/1/67,2.66749,2.87081,3.52823
4/1/67,2.32155,2.56675,3.29341
7/1/67,2.48709,2.70823,3.46192
10/1/67,2.57272,2.99037,3.52595
1/1/68,3.35622,3.74115,4.18695
4/1/68,3.91996,4.1206,4.44444
7/1/68,4.03012,4.47761,4.78011
10/1/68,4.29132,4.62598,5.20341
1/1/69,4.20387,4.87329,5.3271
4/1/69,4.46654,5.50193,5.92044
7/1/69,4.66024,5.52381,5.93066
10/1/69,4.71212,5.83255,5.84532
1/1/70,4.90641,6.22677,6.03372
4/1/70,4.73385,6.03843,6.28821
7/1/70,4.47264,5.68592,6.20155
10/1/70,4.61319,5.6,6.45709
1/1/71,4.3901,4.8119,5.85774
4/1/71,4.41891,4.31406,5.01233
7/1/71,4.42878,4.26985,4.54177
10/1/71,3.72808,3.53535,3.43176
1/1/72,3.83756,3.50584,3.32016
4/1/72,3.26487,3.22581,3.05164
7/1/72,3.1602,3.0303,2.94802
10/1/72,3.36748,3.33333,2.9321
1/1/73,3.53427,4.1129,2.83091
4/1/73,4.92308,5.60897,3.11314
7/1/73,5.90576,6.83625,3.39111
10/1/73,7.20393,8.41857,4.57271
1/1/74,9.07122,9.91479,5.43155
4/1/74,10.03868,10.54628,7.06922
7/1/74,10.98172,11.45833,9.62099
10/1/74,11.50102,12.04644,10.96774
1/1/75,10.29867,11.1346,11.57375
4/1/75,8.56668,9.54015,10.45392
7/1/75,7.69115,8.67824,8.17819
10/1/75,6.79701,7.38342,6.91214
1/1/76,5.99906,6.34115,6.64137
4/1/76,5.60675,6.01504,6.41345
7/1/76,5.249,5.58968,6.76091
10/1/76,5.14855,5.18697,6.40483
1/1/77,5.87016,5.9034,6.16845
4/1/77,6.7812,6.79669,6.43651
7/1/77,6.75913,6.57359,6.21762
10/1/77,6.58849,6.59404,6.18966
1/1/78,6.41746,6.47523,6.31285
4/1/78,6.77645,7.02822,6.76196
