year,country,unemployment_rate,inflation_rate,change_inflation
1991,Nigeria,4.122000217,13.0069731,NA
1992,Nigeria,4.089000225,44.58884272,31.581869620000003
1993,Nigeria,4.102000237,57.16525283,12.576410109999998
1994,Nigeria,4.0850000380000004,57.03170891,-0.13354392000000104
1995,Nigeria,4.06099987,72.8355023,15.803793390000003
1996,Nigeria,4.02699995,29.26829268,-43.56720962
1997,Nigeria,4.014999866,8.529874214,-20.738418466
1998,Nigeria,3.999000072,9.996378124,1.4665039100000001
1999,Nigeria,3.99000001,6.618373395,-3.3780047289999997
2000,Nigeria,3.953999996,6.933292156,0.3149187610000004
2001,Nigeria,3.9349999429999998,18.87364621,11.940354054
2002,Nigeria,3.881999969,12.8765792,-5.99706701
2003,Nigeria,3.898999929,14.03178361,1.1552044099999996
2004,Nigeria,3.875999928,14.99803382,0.9662502100000001
2005,Nigeria,3.871000051,17.86349337,2.8654595500000006
2006,Nigeria,3.855999947,8.22522152,-9.63827185
2007,Nigeria,3.836999893,5.388007969,-2.8372135509999996
2008,Nigeria,3.819000006,11.58107517,6.193067201
2009,Nigeria,3.796000004,12.55496039,0.9738852199999997
2010,Nigeria,3.778000116,13.72020184,1.16524145
2011,Nigeria,3.7699999809999998,10.84002754,-2.8801743
2012,Nigeria,3.742000103,12.21778174,1.3777542
2013,Nigeria,3.700000048,8.475827285,-3.741954455
2014,Nigeria,4.559999943,8.062485824,-0.4133414609999999
2015,Nigeria,4.309999943,9.009387183,0.9469013589999999
2016,Nigeria,7.059999943,15.67534055,6.665953367
2017,Nigeria,8.390000343,16.52353998,0.8481994299999993
2018,Nigeria,8.456000328,12.09473155,-4.428808429999998
2019,Nigeria,8.529999733,11.39679497,-0.6979365800000004
2020,Nigeria,9.713999748,13.24602343,1.849228459999999
2021,Nigeria,9.788000107,16.95284572,3.70682229
